name,difficulty,likes,disslikes,isSolved
basic-calculator,Hard,5055,381,0
basic-calculator-ii,Medium,5138,658,0
kth-smallest-element-in-a-bst,Medium,8901,158,0
number-of-digit-one,Hard,969,1209,0
lowest-common-ancestor-of-a-binary-tree,Medium,13083,315,0
product-of-array-except-self,Medium,15629,870,0
sliding-window-maximum,Hard,13036,425,0
search-a-2d-matrix-ii,Medium,9670,159,0
different-ways-to-add-parentheses,Medium,4394,222,0
shortest-word-distance,Easy,1155,99,0
shortest-word-distance-ii,Medium,975,297,0
shortest-word-distance-iii,Medium,395,91,0
strobogrammatic-number,Easy,520,920,0
strobogrammatic-number-ii,Medium,835,215,0
strobogrammatic-number-iii,Hard,287,179,0
group-shifted-strings,Medium,1447,280,0
count-univalue-subtrees,Medium,1051,364,0
flatten-2d-vector,Medium,658,362,0
meeting-rooms,Easy,1706,86,0
meeting-rooms-ii,Medium,6259,135,0
factor-combinations,Medium,1011,59,0
verify-preorder-sequence-in-binary-search-tree,Medium,1032,76,0
paint-house,Medium,2084,127,0
3sum-smaller,Medium,1388,127,0
single-number-iii,Medium,4563,202,0
graph-valid-tree,Medium,2867,78,0
trips-and-users,Hard,925,546,0
ugly-number,Easy,2561,1434,0
ugly-number-ii,Medium,4980,245,0
paint-house-ii,Hard,1120,33,0
palindrome-permutation,Easy,942,67,0
palindrome-permutation-ii,Medium,790,90,0
alien-dictionary,Hard,3988,845,0
closest-binary-search-tree-value,Easy,1589,91,0
encode-and-decode-strings,Medium,1087,302,0
closest-binary-search-tree-value-ii,Hard,1192,38,0
integer-to-english-words,Hard,2495,5647,0
h-index,Medium,1413,2038,0
h-index-ii,Medium,825,1195,0
paint-fence,Medium,1379,369,0
find-the-celebrity,Medium,2565,245,0
perfect-squares,Medium,8830,388,0
wiggle-sort,Medium,992,84,0
zigzag-iterator,Medium,610,35,0
expression-add-operators,Hard,2787,500,0
peeking-iterator,Medium,1673,971,0
inorder-successor-in-bst,Medium,2339,84,0
walls-and-gates,Medium,2768,49,0
find-the-duplicate-number,Medium,17427,2392,0
unique-word-abbreviation,Medium,176,1730,0
game-of-life,Medium,5368,469,0
word-pattern,Easy,4305,487,0
word-pattern-ii,Medium,804,63,0
nim-game,Easy,1280,2417,0
flip-game,Easy,179,411,0
flip-game-ii,Medium,560,55,0
find-median-from-data-stream,Hard,9589,187,0
best-meeting-point,Hard,1020,85,0
serialize-and-deserialize-binary-tree,Hard,8162,300,0
binary-tree-longest-consecutive-sequence,Medium,1040,230,0
bulls-and-cows,Medium,1822,1590,0
longest-increasing-subsequence,Medium,15868,291,0
remove-invalid-parentheses,Hard,5233,257,0
smallest-rectangle-enclosing-black-pixels,Hard,481,94,0
range-sum-query-2d-immutable,Medium,4123,314,0
number-of-islands-ii,Hard,1568,53,0
additive-number,Medium,875,698,0
range-sum-query-2d-mutable,Hard,725,84,0
best-time-to-buy-and-sell-stock-with-cooldown,Medium,6989,236,0
minimum-height-trees,Medium,6246,269,0
sparse-matrix-multiplication,Medium,933,328,0
burst-balloons,Hard,7162,184,0
super-ugly-number,Medium,1779,324,0
binary-tree-vertical-order-traversal,Medium,2830,289,0
count-of-smaller-numbers-after-self,Hard,7719,211,0
remove-duplicate-letters,Medium,6302,407,0
shortest-distance-from-all-buildings,Hard,1724,224,0
maximum-product-of-word-lengths,Medium,3126,124,0
bulb-switcher,Medium,1111,1823,0
generalized-abbreviation,Medium,645,216,0
create-maximum-number,Hard,1585,328,0
